ORIGIN_AIRPORT_ID,Year,Origin Airport Code,Total Departures,Total Passengers,Total Seats,Total Load Factor (%),Total Passengers/Flight,Total Seats/Flight,Total Distance/Flight (sm),Total Distance/Passenger (sm),Total Payload (lbs),Total Freight (lbs),Total Mail (lbs),Domestic Departures,Domestic Passengers,Domestic Seats,Domestic Load Factor (%),Domestic Passengers/Flight,Domestic Seats/Flight,Domestic Distance/Flight (sm),Domestic Distance/Passenger (sm),Domestic Payload (lbs),Domestic Freight (lbs),Domestic Mail (lbs),Outbound International Departures,Outbound International Passengers,Outbound International Seats,Outbound International Load Factor (%),Outbound International Passengers/Flight,Outbound International Seats/Flight,Outbound International Distance/Flight (sm),Outbound International Distance/Passenger (sm),Outbound International Payload (lbs),Outbound International Freight (lbs),Outbound International Mail (lbs),Inbound International Departures,Inbound International Passengers,Inbound International Seats,Inbound International Load Factor (%),Inbound International Passengers/Flight,Inbound International Seats/Flight,Inbound International Distance/Flight (sm),Inbound International Distance/Passenger (sm),Inbound International Payload (lbs),Inbound International Freight (lbs),Inbound International Mail (lbs),Origin City Name,Origin Airport Name
10030,2020,A17,2,0,11,0,0,5.5,48,,"2,050",0,0,2,0,11,0,0,5.5,48,,"2,050",0,0,,,,,,,,,,,,,,,,,,,,,,,Port Vita (A17),Port Vita Airport (A17)
10030,2021,A17,4,4,23,17.4,1,5.75,29,32,"4,350",0,0,4,4,23,17.4,1,5.75,29,32,"4,350",0,0,,,,,,,,,,,,,,,,,,,,,,,Port Vita (A17),Port Vita Airport (A17)
10030,2023,A17,5,8,28,28.6,1.6,5.6,32,32,"5,100",0,0,5,8,28,28.6,1.6,5.6,32,32,"5,100",0,0,,,,,,,,,,,,,,,,,,,,,,,Port Vita (A17),Port Vita Airport (A17)
10030,2024M1-10,A17,8,9,43,20.9,1.125,5.375,28.875,32,"7,350",0,0,8,9,43,20.9,1.125,5.375,28.875,32,"7,350",0,0,,,,,,,,,,,,,,,,,,,,,,,Port Vita (A17),Port Vita Airport (A17)
10031,2017,A18,6,1,22,4.5,0.166666667,3.666666667,130,130,"5,100",0,0,6,1,22,4.5,0.166666667,3.666666667,130,130,"5,100",0,0,,,,,,,,,,,,,,,,,,,,,,,Kantishna (A18),Kantishna Airport (A18)
10031,2020,A18,2,0,8,0,0,4,130,,"1,800",0,0,2,0,8,0,0,4,130,,"1,800",0,0,,,,,,,,,,,,,,,,,,,,,,,Kantishna (A18),Kantishna Airport (A18)
10031,2021,A18,3,1,12,8.3,0.333333333,4,130,130,"2,700",0,0,3,1,12,8.3,0.333333333,4,130,130,"2,700",0,0,,,,,,,,,,,,,,,,,,,,,,,Kantishna (A18),Kantishna Airport (A18)
10031,2022,A18,4,0,26,0,0,6.5,114,,"6,400",0,0,4,0,26,0,0,6.5,114,,"6,400",0,0,,,,,,,,,,,,,,,,,,,,,,,Kantishna (A18),Kantishna Airport (A18)
10031,2023,A18,2,3,8,37.5,1.5,4,110.5,130,"1,800",0,0,2,3,8,37.5,1.5,4,110.5,130,"1,800",0,0,,,,,,,,,,,,,,,,,,,,,,,Kantishna (A18),Kantishna Airport (A18)
10031,2024M1-10,A18,3,0,27,0,0,9,108.6666667,,"5,400",0,0,3,0,27,0,0,9,108.6666667,,"5,400",0,0,,,,,,,,,,,,,,,,,,,,,,,Kantishna (A18),Kantishna Airport (A18)
10033,2015,A20,2,0,0,,0,0,315,,"11,200",0,0,2,0,0,,0,0,315,,"11,200",0,0,,,,,,,,,,,,,,,,,,,,,,,Alpine (A20),Alpine Airstrip (A20)
10033,2016,A20,174,0,0,,0,0,174.1321839,,"8,178,000","3,696,732",447,174,0,0,,0,0,174.1321839,,"8,178,000","3,696,732",447,,,,,,,,,,,,,,,,,,,,,,,Alpine (A20),Alpine Airstrip (A20)
10033,2017,A20,208,0,0,,0,0,167.1875,,"9,776,000","3,803,601",0,208,0,0,,0,0,167.1875,,"9,776,000","3,803,601",0,,,,,,,,,,,,,,,,,,,,,,,Alpine (A20),Alpine Airstrip (A20)
10033,2018,A20,317,0,0,,0,0,104.6340694,,"14,899,000","5,851,017",0,317,0,0,,0,0,104.6340694,,"14,899,000","5,851,017",0,,,,,,,,,,,,,,,,,,,,,,,Alpine (A20),Alpine Airstrip (A20)
10033,2019,A20,373,0,9,0,0,0.024128686,97.67292225,,"17,487,000","5,561,130",22,373,0,9,0,0,0.024128686,97.67292225,,"17,487,000","5,561,130",22,,,,,,,,,,,,,,,,,,,,,,,Alpine (A20),Alpine Airstrip (A20)
10033,2020,A20,168,0,0,,0,0,122.9821429,,"8,440,752","2,880,482",0,168,0,0,,0,0,122.9821429,,"8,440,752","2,880,482",0,,,,,,,,,,,,,,,,,,,,,,,Alpine (A20),Alpine Airstrip (A20)
10033,2021,A20,301,0,0,,0,0,126.6378738,,"14,147,000","5,681,961",0,301,0,0,,0,0,126.6378738,,"14,147,000","5,681,961",0,,,,,,,,,,,,,,,,,,,,,,,Alpine (A20),Alpine Airstrip (A20)
10033,2022,A20,235,0,0,,0,0,234.7446809,,"11,045,000","5,215,671",0,235,0,0,,0,0,234.7446809,,"11,045,000","5,215,671",0,,,,,,,,,,,,,,,,,,,,,,,Alpine (A20),Alpine Airstrip (A20)
10033,2023,A20,217,0,0,,0,0,239.8110599,,"10,199,000","4,921,038",0,217,0,0,,0,0,239.8110599,,"10,199,000","4,921,038",0,,,,,,,,,,,,,,,,,,,,,,,Alpine (A20),Alpine Airstrip (A20)
